Title, Author, Column, Publication, Published, URL
"NYSE Mayhem Traced to a Staffer Who Left a Backup System Running", "Katherine Doherty", Markets, Bloomberg, 2023-01-25, https://www.bloomberg.com/news/articles/2023-01-25/nyse-mayhem-traced-to-a-staffer-who-left-a-backup-system-running
"The World’s Biggest Luxury Spenders Are Label-Loving Koreans", "Heejin Kim", Technology, Bloomberg, 2023-01-25, https://www.bloomberg.com/news/articles/2023-01-25/south-koreans-are-world-s-biggest-luxury-spenders-with-property-out-of-reach
"NYSE Glitch Was Caused by Manual Error in Disaster Recovery Program", "Katherine Doherty", Markets, Bloomberg, 2023-01-25, https://www.bloomberg.com/news/articles/2023-01-25/nyse-glitch-caused-by-manual-error-in-disaster-recovery-program
"Salesforce Job Cuts, Big Deals at Stake as Elliott Pushes for Profit", "Brody Ford", Technology, Bloomberg, 2023-01-24, https://www.bloomberg.com/news/articles/2023-01-24/salesforce-job-cuts-big-deals-at-stake-as-elliott-pushes-for-profit
"State Street CEO Warns a US Downgrade Could See Treasuries Drop", "Bloomberg News", Markets, Bloomberg, 2023-01-23, https://www.bloomberg.com/news/articles/2023-01-23/state-street-ceo-warns-a-us-downgrade-could-see-treasuries-drop
"Sanctions-Proof Yuan to Putin’s Rescue After Oil Cap Hits Budget", "Bloomberg News", Markets, Bloomberg, 2023-01-24, https://www.bloomberg.com/news/articles/2023-01-24/sanctions-proof-yuan-to-putin-s-rescue-after-oil-cap-hits-budget
"Japan Stocks Set for Full Recovery From BOJ’s Shock Yield Pivot", "Aya Wagatsuma and Toshiro Hasegawa", Markets, Bloomberg, 2023-01-24, https://www.bloomberg.com/news/articles/2023-01-24/japan-stocks-set-for-full-recovery-from-boj-s-shock-yield-pivot
"Hedge Fund That Got China Right Sees Risk in US Credit, Stocks", "Richard Henderson", Markets, Bloomberg, 2023-01-23, https://www.bloomberg.com/news/articles/2023-01-23/hedge-fund-that-got-china-right-sees-risk-in-us-credit-stocks
"DOJ Poised to Sue Google Over Digital Ad Market Dominance", "Anna Edgerton, Emily Birnbaum and Leah Nylen", Technology, Bloomberg, 2023-01-24, https://www.bloomberg.com/news/articles/2023-01-24/doj-poised-to-sue-google-over-digital-ad-market-dominance
"CityLab Daily: Gun Violence’s Chilling Effect on Lunar New Year", "Linda Poon and Sri Taylor", Newsletter, Bloomberg, 2023-01-23, https://www.bloomberg.com/news/newsletters/2023-01-23/citylab-daily-gun-violence-s-chilling-effect-on-lunar-new-year
"How Apple’s Upcoming Mixed-Reality Headset Will Work", "Mark Gurman", Technology, Bloomberg, 2023-01-23, https://www.bloomberg.com/news/articles/2023-01-23/apple-reality-pro-details-eye-hand-tracking-app-store-3d-ios-like-interface
"US Confronts China Over Companies’ Ties to Russian War Effort", "Peter Martin and Jenny Leonard", Politics, Bloomberg, 2023-01-24, https://www.bloomberg.com/news/articles/2023-01-24/us-confronts-china-with-evidence-of-companies-aiding-putin-s-war
"ECB Will Stay Course to Return Inflation to 2%, Lagarde Says", "Jana Randow", Economics, Bloomberg, 2023-01-23, https://www.bloomberg.com/news/articles/2023-01-23/lagarde-says-ecb-will-stay-the-course-to-return-inflation-to-2
